name,id,location
"South Cariboo Regional Airport (108 Mile Ranch Airport)","ZMH","South Cariboo"
"Vancouver International Airport","YVR","Vancouver"
"Prince George Airport","YXS","Prince George"
"Prince Rupert Airport","YPR","Prince Rupert"
